feature_id,title,package,capability_areas,spec_refs,volumes,stage,lane,milestone,owner,depends_on,status,rows,rows_implemented,rows_partial,rows_missing,delivered,remaining,paperwork_remaining,external_prerequisites,advanced_by,effort_lo,effort_hi,stage_effort_lo,stage_effort_hi,verify_stage,verify_effort_lo,verify_effort_hi,target_date,demo_scenes,evidence
F-P4-02,"Ensembles, model disagreement and human judgement overlay",P4,prediction,"V0 V00-T-053; V3 L6-C04, V03-T-129/-132/-326/-327; V4 ES-36-007, V04-T-029; V8 PER-07; families V00-F021, V03-F007, V04-F010",V0:1 V3:5 V4:2 V8:1,B25,B,implementation,A1,F-P4-01,partial,9,0,4,5,model disagreement shown against the seasonal-naive baseline only (PER-07),"ensemble and disagreement manager: combine methods, keep member distributions inspectable | disagreement analysis naming which assumptions drive divergent futures | model-path availability: exclude unavailable models and disclose the loss on the package | human judgement overlay labelled and versioned separately from model output",,,,1.5,2.5,1.5,2.5,,0,0,2027-03-05,"two methods disagree on the corridor delay forecast; the package shows both distributions, the ensemble and the assumption that splits them; N. Eriksen adds a labelled judgement overlay","test/int/phase4-acceptance.test.ts:487,505; phase4-corrections-calendar.test.ts:72-118 ; apps/api/src/prediction/forecasting/forecasting.service.ts:180-183 (validation_impossible) ; apps/api/src/policy/pdp.service.ts (forecast_owner); apps/api/test/int/phase4-acceptance.test.ts: D1 · a forecast names "
F-P4-03,Grounded forecast context and frozen information set,P4,prediction; memory-graph,"V0 V00-T-009; V3 L6-C02, V03-T-127/-319; V5 AI-48-002; families V00-F009, V03-F007, V05-F010",V0:1 V3:3 V5:1,B25,B,implementation,A1,,partial,5,1,4,0,model and feature lineage recorded (V03-T-127); series vintage is the information boundary,"feature and context assembler: graph entities/events, twin snapshot, evidence and assumptions as model inputs | information-set manifest pinning evidence, graph revision, twin snapshot, features, assumptions and policy at the cutoff | graph/twin revision pins on the forecast package and replay of the frozen set",,,,1.5,2.5,1.5,2.5,,0,0,2027-03-05,a corridor forecast pins the twin snapshot and graph revision it used; a later graph change leaves the replayed package unchanged,"migrations/0029 issue_forecast (subject entity, assumptions in the strategy graph, evidence refs, known_at) ; apps/api/src/prediction/series/series.service.ts:1-19 (vintages); migrations/0029:50 (series_registry) ; migrations/0029:102-149 (model/series vintage on package); apps/api/src/prediction/series/series.service.ts:1-19"
F-P4-04,"Forecast explanation: drivers, sensitivity, failure conditions, abstention",P4,prediction; ux,"V0 C-021, V00-T-052; V1 V01-T-014; V2 V02-T-060/-064/-065/-155/-156; V3 L6-C06, L6-I02, FCT, ADR-0012, V03-T-321/-325; V4 ES-36-006, ADR-0012; V5 AI-48-004; V8 FEX-11, HX-03",V0:2 V1:1 V2:5 V3:8 V4:2 V5:1 V8:2,B26,B,implementation,A1,F-P4-03,partial,21,6,14,1,"ForecastProduced with quantiles, calibration, lineage, expiry (L6-I02, FCT, 0029) | point estimates never replace distributions; failure conditions in the refusal set (V03-T-128)","multi-driver attribution and forecast sensitivity analysis (which drivers/assumptions move the distribution) | declared failure conditions per forecast evaluated on refresh (regime break, data gap, horizon beyond validation) | out-of-distribution / out-of-validation detection and warning on the package | explicit ABSTAINED forecast product with affected-use listing (FEX-11) | base rate, scenario dependencies and ""what would change the view"" statement | uncertainty statement flagging unsupported precision (HX-03)",,,,1.5,2.5,1.5,2.5,,0,0,2027-06-23,the Suez/Bab el-Mandeb delay forecast shows its top drivers and a sensitivity bar; a data gap trips a declared failure condition and the package abstains instead of issuing,"migrations/0029 (quantiles q10/q50/q90 ordered, drivers, assumptions, validation_state, attention_state, refresh_cadence ; migrations/0029 forecasts_current (series, horizon, origin_at, known_at, method/method_version, baseline_method, quantil ; e2e/phase4-prediction.demo.spec.ts)"
F-P4-05,"Forecast fitness, drift, refresh and outcome scoring",P4,prediction; learning-evaluation,"V0 V00-T-054; V3 L6-C05/-C08, L6-I03/-I05, V03-T-134/-296/-328/-330; V4 ES-36-001/-008/-009, V04-T-030; V5 AI-26-005, AI-48-005; V8 PR-32-005; V10 IR-16-003, V10-T-003",V0:1 V10:2 V3:8 V4:4 V5:2 V8:1,B26,B,implementation,A1,F-P4-01,partial,18,4,14,0,"B21 (0081): fitness rule v1 (calibration_failure, drift, data_shift, envelope_breach), assessment ledger, ForecastFitnessChanged (L6-I03) | ForecastWithdrawn chain to scenarios/packages/twins (0078, L6-I05); outcome ledger and pinball scoring (0030) | B22 (0083): unfit forecasts routed into the attention queue","forward refresh scheduler that re-issues forecasts on cadence, evidence, twin revision or signpost triggers | automatic recompute of eligible products after correction; human review task for committed ones (V03-T-296) | segmented error analysis and calibration curves by regime/geography/confidence band | bias, sharpness, stability, latency and cost indicators (ES-36-008) | continuous degraded-behaviour tests (serve-prior-with-expiry, withdrawn exclusion) with fault traces",,,,1.5,2.5,1.5,2.5,,0,0,2027-06-23,an outcome for the corridor forecast lands; the family is assessed unfit (drift) and the forecast is re-issued automatically by the scheduler with the prior kept for replay,"test/int/phase4-corrections-calendar.test.ts:72-118 ; apps/api/migrations/0029_prediction_forecasts_scenarios_warnings_outcomes.sql (horizon_code 30d/90d/180d/1y/3y/5y; backt ; migrations/0030 backtests (coverage_80, pinball, skill vs baseline) and outcome scoring under known_at; test/int/phase4-"
F-P4-06,"Forecast review, publication and forecasting workspace",P4,prediction; ux,"V3 V03-T-322/-323; V8 PR-32-002/-003/-006, AT-32, JRN-12, OBJ-24, WS-11",V3:2 V8:7,B26,B,implementation,A1,F-P4-02; F-P4-04; F-P4-05,partial,9,2,7,0,"forecast issued with failure conditions, monitoring and update triggers (V03-T-323); human-authority boundary enforced (PR-32-003)","reviewer step before publish (forecaster and independent reviewer; OBJ-24) | expert review/challenge of a forecast as a workflow (not an owner status) | forecast design workspace: method comparison, monitoring, calibration and scoring views, abstention state (WS-11) | model-registry identity on the persisted forecast (PR-32-002)",AT-32 / PR-32-006 scope-bound acceptance record,,,1,2,1,2,,0,0,2027-06-23,N. Eriksen drafts the corridor forecast; a second forecaster reviews and publishes; the workspace compares the two methods and the calibration curve,"apps/api/src/prediction/forecasting/forecasting.service.ts (30d/90d/180d/1y/3y/5y); apps/api/src/prediction/models/model ; apps/api/src/prediction/forecasting/forecasting.service.ts:276,457; migrations/0029:161; test/int/phase4-acceptance.test ; migrations/0029:102-149; migrations/0031:25-34; test/int/phase4-acceptance.test.ts"
F-P4-07,"Scenario anatomy: drivers, actors, mechanisms, assumption register",P4,prediction; memory-graph,"V0 V00-T-055; V2 V02-T-068/-070/-116/-164; V3 L7-C02/-C04/-C07, V03-T-137/-141/-332/-338; V4 ES-37-001; V5 AI-49-002; V8 PR-33-002, OBJ-26; families V02-F004, V03-F008",V0:1 V2:4 V3:7 V4:1 V5:1 V8:2,B27,B,implementation,A1,,partial,16,0,13,3,"per-branch assumptions list and divergence prose (0058, B3); scenario tree with indicators, owner, review cadence (0029) | B21 coherence gate on invalid assumptions (0081 §6)","versioned scenario assumption/hypothesis register linked to Knowledge Graph assumption objects with invalidation conditions | actor, driver and mechanism model per scenario and branch (agency, exogenous shocks, dependencies) | scenario-level intervention and impact mapper (not only inside simulation runs) | suspend a branch (not only flag) when a critical assumption is invalidated; task the owner | narrative, implication and option records per scenario (PR-33-002)",,,,2,3,2,3,,0,0,2027-01-05,"the ""Bab el-Mandeb closure"" scenario declares Houthi activity and insurer withdrawal as drivers, carriers as actors; invalidating the insurer assumption suspends the disruption branch and tasks its owner","migrations/0029 scenarios_current/branches_current (assumptions, indicators, branch points, owners, response window); mi ; apps/api/migrations/0029 (scenarios_current: forecast_id, owner_principal_id, review_cadence; branches_current: kind, in ; apps/api/migrations/0024 (ASU strategy objects with verification_state); apps/api/migrations/0029 (forecasts_current.ass"
F-P4-08,"Scenario sets, branching, comparison and portfolio review",P4,prediction; ux; governance-docs,"V0 C-022, V00-T-056/-057; V1 V01-T-015; V2 V02-T-067/-073; V3 L7-C01/-C03/-C08, L7-I02/-I05, SCN, ADR-0013, V03-T-144/-333/-336/-340/-343; V4 ADR-0013; V5 AG-020; V8 ADR-012, PR-33-001/-003/-006, CAP-DS-01/-02, AT-33, JRN-13, WS-12",V0:3 V1:1 V2:2 V3:12 V4:1 V5:1 V8:9,B27,B,implementation,A1,F-P4-07,partial,29,6,20,3,"eight scenario kinds with divergence and user-defined labels (0058, B3); review/retirement with replay retention (0066, L7-I05) | registry, SCN@v3, review cadence (0029, 0061)","B23 (planned): L7-I02 add-branch command on a live scenario (BranchScenario), versioned | scenario SET object with plurality check before a recommendation (ADR-012) and scenario-set comparator (CAP-DS-02) | portfolio review: relevance, consequence, option robustness/regret across branches, missing-branch detection, retirement | living scenarios: relevance scoring and owner notification when signposts move | scenario creation triggers from forecast shift, weak signal, risk, planning cycle (not manual only) | scenario-set workspace: frame, drivers, uncertainties, implications, challenge, approve stages (JRN-13, WS-12)",AT-33 / PR-33-006 acceptance record,,B23,2,3.5,2,3.5,,0,0,2027-01-05,"L. Brandt compares baseline, disruption and user-defined ""regional blockade"" branches side by side for the Regensburg supply decision; a missing stress branch is flagged before the recommendation is allowed | a new disruption branch is added to the live corridor scenario through the B23 command","apps/api/src/prediction/scenarios/scenarios.service.ts; apps/api/migrations/0029 (scenarios_current, branches_current);  ; apps/web/app/prediction/scenarios/page.tsx ; apps/api/src/prediction/scenarios/scenarios.service.ts"
F-P4-09,"Scenario coherence, quality measures and degraded behaviours",P4,prediction,"V3 L7-C06, L7-I04, V03-T-142/-143/-334/-341; V4 ES-37-007/-008/-009, V04-T-031/-032; V5 AI-49-003/-004; V8 PR-33-005, FEX-12",V3:6 V4:5 V5:2 V8:2,B27,B,implementation,A1,F-P4-07,partial,15,4,9,2,"B21 (0081): check_scenario_coherence (duplicate branch, invalid assumption), ScenarioCoherenceFailed, non-decision-active scenarios (FEX-12) | incoherent branches refused by simulation (V03-T-143); retired branches refused, history kept (0066)","semantic coherence: temporal ordering, forecast-relationship and prohibited-contradiction checks; collapse-to-one-forecast detection | distinctiveness, relevance, coverage and bias evaluation of branches (AI-49-004) | quality indicators: assumption coverage, branch diversity, indicator freshness, signpost discrimination, review timeliness | separately governed branch probabilities (never from narrative plausibility) | expose missing indicators and stale dependencies on the scenario",,,,1,2,1,2,,0,0,2027-01-05,two corridor branches that differ only in wording fail the distinctiveness check; the scenario shows its missing freight-rate indicator as stale,"apps/api/src/prediction/scenarios/scenarios.service.ts (validateScenario — the structural shape refusals; test/unit/phas ; migrations/0029:275-317 (indicators with owners/thresholds); test/int/phase5-corrections.test.ts:256,288 ; apps/api/src/prediction/scenarios/scenarios.service.ts:61,66; migrations/0029:344,345; test/unit/phase5-refusals.test.ts"
F-P4-10,Weak-signal detection and indicator workbench,P4,prediction; intelligence; ux; agents,"V0 C-032, V00-T-097; V1 V01-T-020; V2 V02-T-157/-158; V3 V03-T-260; V5 AI-57-001, AG-031, MC-014; V8 PR-25-001..006, CAP-FW-01/-02, AT-25, JRN-06, OBJ-17/-18, WS-08; V9 UX-33-001..006, JRN-06, CAP-FW-02; families V02-F010, V03-F011, V05-F012",V0:2 V1:1 V2:2 V3:1 V5:3 V8:12 V9:8,B28,B,implementation,A1,F-P4-11,partial,29,0,5,24,"indicator definitions with thresholds and owners (prediction.indicators_current, 0029/0059); warnings raised from indicator breaches only","weak-signal object: observation, baseline, novelty basis, corroboration, source independence, strengthen/falsify conditions, status changed only by corroboration | detectors: novelty, acceleration, change-point, relationship change, diffusion, cross-domain convergence (anomaly model class) | nomination by detector/analyst/agent and analyst disposition (confirm, monitor, dismiss, escalate; OBJ-17/-18) | indicator registry governance: lineage, sensitivity, expiry (CAP-FW-02) | seeded-signal/null/drift/source-gap fixtures and false-positive controls | Weak Signal Agent (nominate and rank only) and the workbench page (WS-08, UX-33)",AT-25 acceptance record,,,3,5,3,5,,0,0,2026-10-22,"a cluster of low-confidence reports on Red Sea insurer withdrawals is nominated as a weak signal; A. Hoffmann tests source independence and marks it ""monitor"" with a falsify condition | corroboration from a second independent source escalates it into an early warning","apps/web/app/prediction/scenarios/page.tsx (indicator thresholds, flipped branch); e2e/phase4-prediction.demo.spec.ts: t ; migrations/0029/0030 raise_warning on indicator breach routed to a named owner; apps/api/src/executive/briefings/briefin ; apps/api/src/prediction/prediction.controller.ts (/warnings/*, /indicators/*); apps/api/migrations/0029_prediction_forec"
F-P4-11,Event-time stream processing and complex event rules,P4,data-platform,V7 DP-31-001/-002/-003/-005/-006; family V07-F008,V7:5,B28,B,implementation,A1,,missing,5,0,0,5,,"event-time windows and watermarks over observation events | CEP rules deriving near-real-time signals and warnings (not batch indicator evaluation) | late-data handling that never conceals lateness; state checkpoints and offset reconciliation | failure semantics for stalled watermarks, duplicate output and corrupt state; late-event fixtures",,,,2,4,2,4,,0,0,2026-10-22,AIS/PortWatch transit events arrive late and out of order; the corridor rule fires on event time and labels the late window instead of hiding it,No stream processor
F-P4-12,"Early-warning lifecycle: materiality, dedup, escalation, feedback",P4,prediction; infrastructure; observation,"V0 C-033; V1 V01-T-021; V2 V02-T-159..162; V3 WRN, V03-T-080/-259/-261/-264; V4 ES-47-001..005; V5 AI-57-002/-003, AG-032; V6 MS-16; V8 PR-26-001..006, CAP-FW-03, AT-26, JRN-07, OBJ-19/-21; families V02-F010, V03-F011, V04-F013",V0:1 V1:1 V2:4 V3:5 V4:5 V5:3 V6:1 V8:10,B28,B,implementation,A1,F-P6-07; F-P4-10,partial,30,2,24,4,"warnings with owner, response window, acknowledgement (0029-0031); warning levels by versioned derivation (0061, B2) | B22 (0083): warnings routed into the attention queue with materiality verdict, suppression with reason/expiry, escalation of overdue items","warnings originated from weak signals, graph impact, twin degradation and forecast revision (not only indicator breaches) | deduplication/clustering preserving distinct causes, objectives, geographies, horizons; storm handling | contradicting evidence, affected objectives/assets/actors and falsification conditions on the warning | verification/simulation playbook link, escalation on expiry, closure criteria; coverage gaps attached | feedback capture (false, late, missed, duplicated, useful) feeding evaluation; T3 timeliness measured | delivery channels with receipts beyond in_app",AT-26 / PR-26-006 acceptance record,notification delivery provider (email/SMS/Teams) for receipts beyond in-app,,2,3.5,2,3.5,,0,0,2026-10-22,"three sources report the same Bab el-Mandeb incident; one deduplicated warning carries all three with a contradicting report, the affected Regensburg objective and a simulation playbook | the warning expires unacknowledged and escalates; later J. Weber marks it ""late"" and the feedback appears in the warning evaluation","apps/api/src/prediction/prediction.controller.ts (/warnings/*, /indicators/*); apps/api/migrations/0029_prediction_forec ; migrations/0029:376-401; 0031:168-196; apps/web/lib/warning-timing.ts; test/int/phase4-acceptance.test.ts:573,628; phase ; migrations/0029 §7 warnings_current (evidence, consequence, confidence, response window, named owner, acknowledge/expire"
F-P4-13,Risk and opportunity intelligence,P4,prediction; memory-graph; agents; ux; identity-policy,"V0 V00-T-098; V1 V01-T-022; V3 RSK, V03-T-265; V5 AI-52-001..005, AG-023/-024; V8 PER-10, PR-27-*, PR-28-*, CAP-FW-04/-05, AT-27/-28, JRN-08/-09, OBJ-22/-23, WS-09; V9 UX-35-*, WS-09, JRN-08/-09; families V03-F005, V05-F011",V0:1 V1:1 V3:2 V5:7 V8:20 V9:11,B32,B,implementation,A1,F-P6-09; F-P4-12,partial,42,0,2,40,risks/opportunities exist only as free-text arrays on decision packages,"RSK risk/opportunity object in the Strategy Graph with mechanism, drivers, probability/plausibility, horizon, exposure, options | risk register: taxonomy, appetite, controls, mitigation, residual exposure, aggregation without double counting | opportunity register: hypotheses, value ranges, timing, options, sponsorship (OBJ-23) | decomposed prioritisation (probability, impact, urgency, reversibility, controllability) and shared-driver/correlation analysis | risk/opportunity owner role; accept-assessment and sponsor human gates (OBJ-22/-23) | Risk and Opportunity agents (estimate/recommend only) and the WS-09 workspace; route to warnings/decisions with outcome monitoring","AT-27, AT-28 acceptance records",,,3,5,3,5,,0,0,2026-11-23,the corridor closure is registered as a risk to the Regensburg line with exposure and appetite breach; the risk owner accepts the assessment and a mitigation decision is opened | the same change surfaces an opportunity (alternative supplier in Morocco) with a value range that L. Brandt sponsors,"reversibility text ; migrations/0029: warnings_current (consequence, confidence, response window, owner, evidence) ; test/int/phase4-acceptance.test.ts: D5/D6 (routed to a named owner; EXPIRED when unacknowledged)"
F-P4-14,Supply-chain intelligence: multi-tier mapping and disruption,P4,prediction; twin-simulation; ux,"V8 PR-30-001..006, CAP-FW-07, AT-30, JRN-11; V9 JRN-11, CAP-FW-07",V8:8 V9:2,B33,B,implementation,A1,F-P5-01; F-P4-12,partial,10,0,8,2,forecast -> scenario -> simulation -> decision on the single NORDWERK supply-chain twin (JRN-11 later stages),"supplier/facility/part/route/tier objects with provenance and tier-coverage measures | hidden-dependency inference with human validation of sensitive relationships | disruption detection and map-dependencies stages feeding the twin | alternatives workspace (sourcing, inventory, routing options) and coverage-limit disclosure",AT-30 / PR-30-006 acceptance record,,,2.5,4,2.5,4,,0,0,2027-05-04,a tier-2 bearing supplier in Shenzhen is inferred behind a tier-1 vendor; the analyst validates it and the corridor disruption is mapped to the Regensburg line with two alternatives,"apps/api/src/twin/models/supply-flow.ts; apps/api/migrations/0032_twin_registry.sql ('supply-chain' kind); apps/api/test ; apps/api/migrations/0006_objects.sql (identity, owner, times, status, provenance, policy on every canonical object); app ; apps/api/src/policy/pdp.service.ts; apps/api/test/unit/pdp.test.ts; apps/api/test/int/gate22-authority-matrix.test.ts: n"
F-P4-15,Competitor and domain intelligence packages,P4,prediction; ux; intelligence,"V8 PR-29-*, PR-31-*, CAP-FW-06/-08/-09/-10/-11, AT-29/-31, JRN-10, WS-10; V9 UX-36-001..006, WS-10, JRN-10, CAP-FW-06/-08..-11",V8:19 V9:13,B33,B,implementation,A1,F-P4-10; F-P4-13,missing,32,0,0,32,,"certified domain-package framework: ontology extension, sources, indicators, models, conformance suite, compatibility rules | competitor intelligence: temporal profiles, entity resolution of competitors, comparative assessments, source diversity | geopolitical, technology (patents/research), cyber (threat/vulnerability/asset) and financial (markets/filings) packages | domain intelligence workspace (WS-10) with resolve/map/compare/assess/forecast/alert/replay commands | domain-specialist approval gates for ontology, methodology and assessments","AT-29, AT-31 acceptance records","licensed data sources per domain (patent, financial filings/market data, cyber threat intelligence feeds) | domain specialist reviewers to certify each package",,5,9,5,9,,0,0,2027-05-04,a competitor gear-motor maker opens a Moroccan plant; the competitor profile updates and an alert reaches the strategy lead | a geopolitical package tracks the Red Sea security situation as a certified indicator set,
F-P4-16,Projection freshness and stale-read accounting,P4,data-platform; infrastructure,"V7 DP-32-002/-005/-006, TT-19, DQM-021, DAT-ST-13; families V07-F005, V07-F007, V07-F008, V07-F016",V7:6,B100,B,implementation,A1,,partial,6,0,6,0,"no series cache exists (every series read is a governed retrieval, Phase 4 correction); B20 (0080) projection partitions with derived watermarks on graph/memory reads","per-query freshness contract and label for every projection (prediction, twin, decision, executive), not only graph/memory | quarantine or bypass of stale/policy-inconsistent projections with a declared degraded answer | stale-projection rate metric (DQM-021)",stale-read fixtures and performance evidence (DP-32-006),,,1,2,0.75,1.5,H1,0.25,0.5,2027-07-02,"none (non-demonstrable: an internal freshness contract; visible only as a ""stale since"" label on a projection read)",apps/api/test/int/phase1-acceptance.test.ts: A11 every projection rebuilds; apps/api/test/int/phase3-corrections.test.ts ; PHASE4_REPORT.md §9 (in-process series cache per reader/purpose/evidence version) ; PHASE4_REPORT.md §9 (series cache may serve a version tombstoned after warm-up)
F-P5-01,Twin family portfolio and twin composition,P5,twin-simulation; agents; governance-docs,"V0 C-018, V00-T-047/-048; V1 V01-T-013/-024/-031; V2 V02-T-050/-121; V3 L5-C01/-C06, V03-T-473; V4 ES-35-001; V5 AI-53-003, AG-026; V8 PR-36-001/-002, CAP-DS-06",V0:3 V1:3 V2:2 V3:3 V4:1 V5:2 V8:3,B29,B,implementation,A1,F-P5-05,partial,17,1,16,0,"twin registry, kind schemas, boundary and limitations (0032, L5-C01); one supply-chain twin kind with supply-flow@1","twin families as kind schemas with domain behaviour: enterprise, market, competitor, product, process, infrastructure, regulation, organisation | twin-to-twin dependency links and coupled state with ownership boundaries; dependency-completeness measure (L5-C06) | multi-tier supply-chain twin semantics (tier, site, material, route, capacity) and Supply Chain Agent | interfaces/composition contracts and approved uses per twin | extension surface for tenant/domain twin kinds (V03-T-473)",,real customer operational dataset to calibrate and validate family behaviours against measured outcomes,,4,7,4,7,,0,0,2026-11-06,NORDWERK enterprise twin composes the Regensburg plant process twin and the corridor supply-chain twin; a capacity change in one propagates to the other,"apps/api/src/twin/twins/twin.service.ts; apps/api/migrations/0032_twin_registry.sql; 0034_twin_propagation_and_reconcili ; migrations/0032 twin registry (behaviour_models, twin_kind_schemas, limitations); migrations/0035 twin.ground_element (c ; migrations/0032 twin_kind_schemas (generic kinds), twin boundary entities"
F-P5-02,Twin state estimation and continuous reconciliation,P5,twin-simulation; agents,"V2 V02-T-013/-052; V3 L5-C02, L5-I02/-I04, V03-T-306..-312/-315/-317; V5 AI-28-002, AG-016; V8 JRN-15",V2:2 V3:12 V5:2 V8:1,B30,B,implementation,A1,F-P5-01,partial,17,5,8,4,"ReconcileTwin -> new observed snapshot, TwinStateChanged (0034/0035, L5-I02/-I04); observed state separated (V03-T-311) | GraphChanged/correction-driven reconciliation (B6 consumers)","input qualification (source health, cadence, units, truth state) before estimation | declared estimators producing candidate state without mutating the active snapshot; disagreement retained | constraint validation (topology, conservation, ranges, business rules) before publish | owner review routing for material/ambiguous changes; Reconciliation Agent proposes only | triggers from telemetry, internal-system change and ontology revision (not only graph corrections) | simulation/twin request for new observations of missing or stale elements (V02-T-013)",,,,2.5,4,2.5,4,,0,0,2027-03-26,"a new PortWatch transit count arrives; the estimator proposes corridor capacity 62%, a conservation check passes and the twin owner approves the material change into a new snapshot","apps/api/migrations/0032 (§6 ports ground/admit; element citations); apps/api/src/twin/twins/twin.service.ts; apps/api/t ; migrations/0034:23,135-205; migrations/0035:446,555; apps/api/src/twin/twins/twin.service.ts; test/int/phase5-propagatio ; migrations/0034:23,135-205; migrations/0035:446,555; test/int/phase5-propagation.test.ts:92,133"
F-P5-03,"Twin state store, branches, snapshots and freshness",P5,twin-simulation; data-platform; ux,"V0 C-019, V00-T-049/-050; V3 L5-C09, ADR-0011, V03-T-119/-121/-122/-196/-314; V4 ADR-0011; V5 AI-28-001/-003; V6 INF-ST-08, SC-05; V8 PR-36-003/-006, CAP-DS-07, AT-36, FEX-14, WS-14",V0:3 V3:7 V4:1 V5:2 V6:2 V8:6,B30,B,implementation,A1,F-P5-02,partial,21,7,14,0,"time travel, versioning, synthetic-state isolation (0035-0037, C-019, L5-C09) | observed/estimated/simulated separation (ADR-0011 V3)","branch-aware twin state store with checkpoint restore and branch merge requiring reconciliation | component-level confidence aggregation; staleness by age and dependency uncertainty on twin state | freeze last validated snapshot with freshness warning and expiry on historical snapshot use (FEX-14) | scenario element kind (ADR-0011 V4); ontology/policy revision on commits (V03-T-196) | twin state and branch explorer UI with time travel (WS-14, CAP-DS-07)",AT-36 / PR-36-006 acceptance record,,,2,3.5,2,3.5,,0,0,2027-03-26,the corridor twin is branched for a blockade; merging the branch back is refused until reconciliation; the explorer shows the snapshot 5 days stale with a freshness banner,"apps/api/src/twin/twins/twin.service.ts; apps/api/migrations/0032_twin_registry.sql; 0034_twin_propagation_and_reconcili ; apps/api/src/twin/twins/twin.service.ts; migrations/0032_twin_registry.sql; migrations/0034_twin_propagation_and_reconci ; apps/api/src/twin/twins/twin.service.ts (openVersion with branchId/forkedFromVersion, asOf, compare); migrations/0034 tw"
F-P5-04,"Operating envelope, twin validation and calibration",P5,twin-simulation; memory-graph,"V0 V00-T-061; V2 V02-T-054/-125; V3 L5-C03/-C08, L5-I05, V03-T-116/-117/-120; V4 ES-35-007/-008/-009, V04-T-027/-028; V5 AI-28-004, AI-C028; V8 PR-36-005; V10 R-08",V0:1 V10:1 V2:2 V3:6 V4:5 V5:2 V8:1,B30,B,implementation,A1,F-P5-03,partial,18,5,11,2,"B21 (0081): twin.validate_version with SoD, envelope check shared with open_run, runs outside the envelope need an owner acknowledgement, fitness state, calibration summary (L5-I05) | envelope declared on behaviour models (0032); versioned model bindings (V03-T-116)","disable (not just acknowledge) behaviours outside the calibrated envelope; raised approval thresholds | calibration against observed outcomes with estimation error and model-fitness indicators | model compatibility/stewardship lifecycle for behaviour models | expose envelope, stale variables and sensitivity to AI consumers of twin state (AI-28-004) | freeze-with-freshness and envelope-disable degraded modes with fault tests",,real outcome data for calibration beyond the synthetic company,,1,2,1,2,,0,0,2027-03-26,a 75-day corridor delay run falls outside the envelope; the behaviour is disabled for decision use and only a twin owner can admit it as exploratory,"migrations/0032:229 (health), 0034:23,135-205 (propagation/reconciliation); test/int/phase5-twins.test.ts:109-287 ; test/int/phase5-corrections.test.ts:372,388,397; phase5-propagation.test.ts:92,133 ; migrations/0033 validation_status (twin version UNVERIFIED appended when a cited input was corrected)"
F-P5-05,Simulation method portfolio and constraint runtime,P5,twin-simulation; intelligence,"V0 V00-T-005/-059; V3 L5-C07, L8-C03/-C05, V03-T-154; V5 MC-016",V0:2 V3:4 V5:1,B29,B,implementation,A1,F-P5-01,partial,7,0,6,1,supply-flow@1 behaviour model with seeded Monte Carlo sampling (0033),"solver/simulator adapter fabric with containment of unstable adapters | method families: discrete-event, system dynamics, agent-based, optimisation, war-gaming, counterfactual | general constraint declaration and satisfaction engine (topology, conservation, business rules) | behaviour runtime generalised beyond one hard-coded flow model",,,,3,5,3,5,,0,0,2026-11-06,the Regensburg line is simulated as a discrete-event model under a 3-week bearing shortage; the constraint engine refuses a plan that exceeds warehouse capacity,"migrations/0033 (shock flag, interventions bound to a control run, scenario_branch_id); test/int/phase5-simulations.test ; migrations/0033 stochastic_mode deterministic/seeded; apps/api/src/twin/models (the shipped propagation model) ; apps/api/src/twin/models/supply-flow.ts; test/unit/phase5-supply-flow.test.ts:99,106,135"
F-P5-06,"Simulation run orchestration, budgets, checkpoints and run center",P5,twin-simulation; ux; agents; data-platform,"V2 V02-T-078; V3 L8-C06, L8-I02/-I03, V03-T-147..-155/-344..-350/-354; V4 ES-38-001/-007/-008/-009, V04-T-033/-034; V5 AI-50-001..003, AG-021; V6 INF-ST-09; V8 PR-35-001..006, CAP-DS-04/-05, AT-35, JRN-14, WS-13",V2:1 V3:14 V4:6 V5:4 V6:1 V8:10,B31,B,implementation,A1,F-P5-05,partial,36,14,20,2,"experiment definition, immutable inputs, seeds/environment, SimulationStarted/Completed, reproducible runs (0033, 0036)","queued/distributed run orchestrator (runs are inline in the API with a 60 s cap) | declared resource budgets and stop conditions with human budget approval (JRN-14) | checkpoints, pause/resume, progress events; partial runs with declared missing outputs | feasibility admission (capacity, determinism); numerical-stability and constraint-satisfaction indicators | simulation center UI with checkpoints and comparison (WS-13); Simulation Agent preparing experiments",AT-35 / PR-35-006 acceptance record,,,2.5,4,2.5,4,,0,0,2027-01-15,"a 5,000-path corridor experiment runs in the background under an approved budget, checkpoints halfway, is paused and resumed, and completes with its manifest",apps/api/src/twin/simulations/simulation.service.ts; apps/api/src/twin/simulations/reproduce-worker.ts; apps/api/migrati ; test/int/phase5-simulations.test.ts:81-225 ; apps/api/src/twin/simulations/simulation.service.ts; apps/api/src/twin/simulations/reproduce-worker.ts; migrations/0033_
