stage,lane,milestone,title,completing_features,verifying_features,advances,depends_on,extra_depends_on,own_effort_lo,own_effort_hi,effort_lo,effort_hi,owner,target_start,target_merged,demo_scenes,completion_conditions,notes
B50,A,M1,"Knowledge core: canonical headers, lifecycle, provenance, timeline, correction closure",F-P3-01 F-P3-02 F-P3-03 F-P3-04 F-P3-05,,,,,0,0,8.25,14.5,A2,2026-09-28,2026-10-21,"F-P3-01: A NORDWERK shipment ETA reported only as ""late August"" is stored as a bounded interval with source precision, and the corridor forecast header shows its quality and uncertainty rather than null || F-P3-02: The NORDWERK Red Sea assessment moves draft to reviewed to published; a stale concurrent ""publish"" from a second tab is rejected, and later the assessment is retired but stays replayable || F-P3-03: Correcting one port-closure bulletin shows its forward impact: two claims, the corridor forecast, the Regensburg warning, last week's board briefing and one commitment, each classed stale or recompute || F-P3-04: The executive scrubs the Red Sea timeline to the day of the sourcing decision and sees what was believed then versus the corrections that arrived later || F-P3-05: A carrier retracts its Bab el-Mandeb incident notice; the correction reaches the corridor forecast and the Regensburg decision package, publication of the warning freezes, and the case stays open until the supply-risk owner acknowledges","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B51,A,M1,"Ontology, atomic graph revisions, graph reasoning",F-P3-07 F-P3-08 F-P3-09,,,B50,,0,0,6.5,11.5,A2,2026-11-18,2026-12-09,"F-P3-07: The knowledge engineer proposes adding ""chokepoint"" and ""transits_through"" to NORDWERK's ontology; the compatibility analysis shows affected edges and queries, the steward approves, and Bab el-Mandeb becomes a typed chokepoint || F-P3-08: Adding the NORDWERK supplier, its Red Sea route and three shipment edges commits as one graph revision; a validation failure on one edge rolls back all four, and subscribers see one GraphChanged || F-P3-09: A path query explains why a Regensburg gearbox depends on Bab el-Mandeb (supplier to port to route), and link prediction proposes an unrecorded second-tier supplier using the same carrier, labelled inferred","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B52,A,M1,Entity resolution and graph curation workspace,F-P3-10 F-P3-12,,,B46 B51,,0,0,4.5,7.5,A2,2027-06-04,2027-06-22,"F-P3-10: ""Nordwerk Antriebstechnik"", ""NORDWERK GmbH"" and an Arabic-script trade-register entry are proposed as one entity; the data steward compares evidence, merges, and later reverses a wrong merge with the known-at view intact || F-P3-12: The knowledge engineer explores the NORDWERK supply subgraph as of June vs today, sees which Red Sea edges were retracted, and proposes a new edge from the explorer","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B53,A,M1,Hybrid semantic retrieval and context assembly,F-P3-15 F-P3-16,,,B45 B51,,0,0,5.5,9,A2,2027-01-28,2027-02-17,"F-P3-15: Searching ""risk to gearbox deliveries from Red Sea disruption"" finds a German-language supplier memo that shares no keywords, cites it, and states that one restricted source was excluded by policy || F-P3-16: The briefing agent assembles context for the NORDWERK weekly risk brief; the signed manifest shows each supplied segment, the one board-only memo withheld from the plant manager's version, and the as-of time","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B54,A,M1,Enterprise Memory completion and retention across derivatives,F-P3-06 F-P3-14,,,B50 B53,,0,0,4,7.5,A2,2027-06-14,2027-06-30,"F-P3-14: A new NORDWERK procurement lead asks memory why the company dual-sourced gearboxes in 2025; she gets the decision rationale and the lesson recorded after the last Red Sea crisis, with its owner and review date, filtered to her purpose || F-P3-06: NORDWERK's retention period on an expired supplier contract fires; the document, its claims, the derived memory record and the search entries are deleted in order with a deletion certificate, while a legal hold on the Bab el-Mandeb dispute file blocks its deletion","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",AU-MEM-0067 per-object obligation resolved here (no waiver)
B55,A,M1,Strategy Graph alignment diagnostics and research workspace,F-P3-13 F-P3-17,,,B44 B49 B51 B53,,0,0,4,7,A2,2027-05-04,2027-05-19,"F-P3-13: NORDWERK's objective ""99% on-time Regensburg output"" is measured by an indicator; an initiative ""dual-source gearboxes"" without an objective path is flagged orphaned; the assumption ""Red Sea reopens by Q3"" carries its invalidation condition || F-P3-17: An analyst saves the research ""alternatives to Bab el-Mandeb for Regensburg inbound""; two weeks later she reruns it at the original cutoff and gets the identical cited result set, then a fresh run showing what changed","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B60,D,M1,Canonical contracts and the state-class platform,F-P7D-14 F-P7D-15,,,,,0,0,7,12,A3,2026-10-27,2026-11-20,F-P7D-15: The NORDWERK ERP client retries an approval command after a timeout; the idempotency store returns the original result and no second commitment is created || F-P7D-14: NORDWERK's corridor observations are published to the analytical lakehouse as Parquet snapshots and queried by an external BI tool without leaving the governed contract,"the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B61,D,M1,"Identity federation/MFA/privileged access; keys, secrets, encryption",F-P7D-01 F-P7D-03,,,,,0,0,6,10,A3,2026-11-10,2026-11-24,"F-P7D-01: NORDWERK's supply-chain director signs in through the company IdP (local Keycloak) and is forced to WebAuthn step-up before approving the Bab el-Mandeb re-routing decision package || F-P7D-03: NORDWERK's supplier contract evidence is written encrypted under its domain key; an operator reading the raw vault file sees ciphertext, the governed download decrypts it","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",local IdP (e.g. a Keycloak container) and a software KMS for the build; real IdP/KMS/HSM at deployment readiness
B62,D,M1,"Policy bundles, privacy lifecycle, residency and sovereignty",F-P7D-04 F-P7D-05 F-P7D-06,,,B61,,0,0,7,10,A3,2027-01-19,2027-02-05,"F-P7D-04: A policy bundle update restricting NORDWERK's Bab el-Mandeb risk briefings to 'confidential-internal' is signed, activated, then rolled back; the decision record shows the bundle version each read used || F-P7D-05: A NORDWERK supplier contact asks for access and erasure; the rights workspace assembles their records, honours a legal hold on one contract and deletes the rest, propagating to the derived memory and index || F-P7D-06: NORDWERK's domain is declared EU-resident; a backup target and a model provider outside the EU are refused with the sovereignty dimension named","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",DPIA legal review (external) for acceptance
B63,D,M1,"Telemetry/tracing, degraded modes and service health, isolation and quotas",F-P7D-07 F-P7D-08 F-P7D-11,,,,,0,0,6,10,A3,2026-12-02,2026-12-23,"F-P7D-08: One trace follows a PortWatch-style corridor observation from collection through the Bab el-Mandeb warning to the NORDWERK decision package, showing each step's latency || F-P7D-11: The model provider goes down during NORDWERK's weekly briefing; the briefing is issued in 'deterministic fallback' mode with the unavailable functions, owner and maximum duration shown || F-P7D-07: A bulk NORDWERK backfill floods the workers; the Bab el-Mandeb warning and a pending human approval still complete while the backfill is queued with a visible admission reason","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B64,D,M1,"SLOs, error budgets; backup, PITR and restore verification",F-P7D-09 F-P7D-12,,,B60 B61 B63,,0,0,5,8,A3,2027-01-08,2027-02-04,"F-P7D-09: The 'warning timeliness' SLO for NORDWERK's corridor warnings burns its budget after an injected source delay; the next release is held by the error-budget gate || F-P7D-12: An operator corrupts a NORDWERK evidence object; the platform quarantines it and restores the verified copy from the immutable backup vault, reconciling the claims that cite it","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B65,D,M1,"Packaging/installer/management plane; signed releases, upgrade, rollback",F-P7D-16 F-P7D-17,,,B60 B61,,0,0,6,10,A3,2026-12-29,2027-01-15,"F-P7D-17: A fresh laptop installs The Eye into a kind cluster from the signed package; preflight catches a missing key reference, the install resumes after fixing it and ends with application-level health for the NORDWERK demo domain || F-P7D-16: Release N+1 is promoted to the NORDWERK pre-prod cohort, its error budget breaches, and it is rolled back including a contracted schema change, with no lost approvals","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",registry namespace + the owner's approval to publish signed images
B66,D,M1,"Security detection, incident command; trust and audit investigation",F-P7D-18 F-P7D-19,,,B61 B63 B65,,0,0,4.5,6.5,A3,2027-04-01,2027-04-14,"F-P7D-18: A detector flags a compromised connector credential pulling NORDWERK supplier data at night; the incident commander contains it (credential revoked, affected exports blocked) and the timeline lists the decisions that used the data || F-P7D-19: An auditor opens the Bab el-Mandeb re-routing decision and walks the chain back to the port-call observations, seeing each signature and the correction applied in between","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B67,D,M1,Disconnected and air-gapped operation,F-P7D-20,,,B61 B65,,0,0,3,5,A3,2027-02-18,2027-03-03,"F-P7D-20: NORDWERK's Regensburg plant runs cut off for 48 hours; a signed policy bundle arrives on removable media, an expired authority package makes approvals fail closed, and on reconnection the queued observations reconcile with a conflict shown to the steward","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B70,C,M1,"Agent runtime: packages/admission, durable workflow, message contracts, tool gateway, sandbox",F-P7A-01 F-P7A-02 F-P7A-05 F-P7A-07 F-P7A-08,,,,,0,0,7.75,14,A2,2027-02-08,2027-03-04,"F-P7A-01: The platform administrator admits a signed 'supply-chain-watch' agent package for the NORDWERK domain; a tampered digest is refused at admission and the refusal is audited. || F-P7A-02: A 'Red Sea rerouting review' workflow definition v1 runs for NORDWERK; the API process is killed mid-wait and the instance resumes at its committed transition with the approval gate still open for S. Okafor. || F-P7A-05: The supply-chain agent hands the scenario agent a typed result separating observed AIS rerouting evidence from its inferred delay estimate; a message trying to pass an approval token is quarantined. || F-P7A-07: The supply-chain agent requests 'send supplier notice' for NORDWERK's Regensburg castings supplier; the gateway shows the exact message and recipient, S. Okafor approves the digest, the send returns a receipt; a retry never double-sends. || F-P7A-08: A NORDWERK analysis agent's code tries to reach an undeclared host; the sandbox blocks the egress, terminates the environment, preserves its state and blocks the package version.","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B71,C,M1,"Planner, supervisor, checkpoints and agent control",F-P7A-03 F-P7A-04 F-P7A-06 F-P7A-10,,,B70,,0,0,6,10.5,A2,2027-04-08,2027-05-03,"F-P7A-03: L. Brandt asks 'what does a 30-day Bab el-Mandeb closure do to the Regensburg line?'; the planner proposes a task graph (search → supply-chain → scenario → briefing) with budgets and one human gate, which she approves. || F-P7A-04: Two NORDWERK specialist agents loop re-requesting the same corridor evidence; the supervisor detects the loop, suspends the execution at its checkpoint and escalates to L. Brandt. || F-P7A-06: A NORDWERK corridor-assessment run is interrupted after three of five steps; on resume the runtime finds the analyst A. Hoffmann's clearance was reduced and holds the step that needs the confidential room. || F-P7A-10: During a NORDWERK corridor run M. Dvořák presses stop: no new tool calls start, the in-flight read completes, the run records its checkpoint and residual state and notifies the requester.","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B72,C,M1,Agent Operations workspace and supervision surfaces,F-P7A-11 F-P7A-12,,,B71,,0,0,3.5,5.5,A3,2027-06-22,2027-07-02,"F-P7A-11: L. Brandt delegates 'brief me on Bab el-Mandeb exposure' from the Agent Operations workspace, reviews the plan graph, launches it and watches the trace: tasks, tool calls, checkpoints, one refusal. || F-P7A-12: The supply-chain agent requests a supplier notice; S. Okafor receives an 'agent side-effect request' item, sees the exact digest and effect preview, narrows the recipient list and approves.","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B73,C,M1,"Specialist agent families (observation, extraction, graph/memory/reasoning, foresight)",F-P7A-13 F-P7A-14 F-P7A-15 F-P7A-16,,,B70 B71 B74,,0,0,6,10,A2,2027-05-25,2027-06-11,"F-P7A-13: A search agent answers 'port-call delays at Jeddah since 1 Sept' for NORDWERK with cited evidence only from sources in the domain's collection contract; a robots-disallowed page is skipped and recorded. || F-P7A-14: A relationship agent proposes that 'NW Antriebstechnik' and 'NORDWERK ANTRIEBSTECHNIK GmbH' are one entity; K. Müller reviews the proposal with its evidence and rejects a second, unsupported merge. || F-P7A-15: The reasoning agent explains why the Regensburg line depends on the corridor, citing graph edges; the Dissent Agent argues the Cape route absorbs the delay and both appear side by side for L. Brandt. || F-P7A-16: A scenario agent drafts three corridor-closure branches for NORDWERK from fit forecasts only, runs the twin simulations within the envelope and hands a comparison to the decision agent; nothing becomes decision-active without T. Nakamura's and L. Brandt's acts.","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B74,C,M1,"Evaluation foundation: datasets, registry, metrics, AI inventory",F-P7B-03 F-P7B-04 F-P7B-05 F-P7B-10,,,,,0,0,6.5,10.5,A2,2027-02-24,2027-03-12,"F-P7B-04: A 'Red Sea corridor events 2025-26' evaluation set is registered with a temporal cutoff; an attempt to evaluate a forecast method whose training window overlaps the holdout is refused as contaminated. || F-P7B-03: The NORDWERK extraction method v3 is evaluated on the corridor benchmark: aggregate precision passes but the Arabic-language slice fails, so the fitness decision is 'constrain' and v3 is not activated for that slice. || F-P7B-05: The quality page for NORDWERK shows citation precision, unsupported-claim rate and abstention quality for the extraction method by language slice, and which decisions relied on the weak slice. || F-P7B-10: The risk register shows the NORDWERK supply-chain agent at C3 because its reachable side effect (supplier notice) is higher than its task class; widening its tool reach triggers reclassification.","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B75,C,M1,"Monitoring, red-team suites, release/canary/rollback, evaluator models",F-P7B-06 F-P7B-07 F-P7B-08 F-P7B-09,,,B70 B74,,0,0,6.25,10.5,A2,2027-04-21,2027-05-18,"F-P7B-08: The extraction method's confidence calibration drifts on new Houthi-statement sources; the monitor restricts the method to 'constrain' and routes an attention item to K. Müller with a deadline. || F-P7B-07: An injection suite plants 'approve the package' inside a NORDWERK supplier PDF; the release of the new extraction prompt is blocked until the finding is fixed and becomes a regression asset. || F-P7B-09: The congestion-threshold change from the NORDWERK lesson ships as release manifest r12 in shadow, then canary on the corridor forecasts; a pinball regression trips the stop criterion and the release rolls back with the in-flight forecasts reconciled. || F-P7B-06: The Learning Agent drafts a lesson proposal from three NORDWERK warning outcomes; the Evaluation Agent runs the registered metrics; K. Müller, not the agent, decides.","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B76,C,M1,"The Learn stage: lessons, attribution, governance console, incidents, loop closure",F-P7B-01 F-P7B-02 F-P7B-11 F-P7B-12 F-P7B-13,,,B71 B74 B75,,0,0,6.5,10.5,A3,2027-05-21,2027-06-10,"F-P7B-01: After the NORDWERK rerouting decision closes, L. Brandt turns 'we underestimated port congestion' into a lesson proposal citing the outcome and the forecast family; it proposes raising the congestion threshold, which stays a proposal. || F-P7B-02: Replaying the NORDWERK rerouting decision: the outcome missed its cost criterion; the attribution view shows the forecast was calibrated but the Suez reopening was unforeseeable (luck), while the process missed a supplier signal (quality). || F-P7B-11: The model risk authority opens the governance console, sees the extraction method's evaluation expired yesterday, and suspends it; the builder's attempt to re-approve it is refused. || F-P7B-12: An agent sent a supplier notice built on a withdrawn source; M. Dvořák declares an incident, suspends the agent, reconciles the effect with a correction notice and files a change proposal. || F-P7B-13: The full NORDWERK loop: a Bab el-Mandeb observation leads to a decision, its outcome to a lesson, the lesson to a released threshold change, and the next quarter's forecast uses it — the loop-closure metric ticks.","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B77,C,M1,"Marketplace core: signed packages, admission, revocation, agent marketplace",F-P7C-01 F-P7C-02 F-P7C-03 F-P7C-04,,,B70 B74,,0,0,6,10,A3,2027-04-15,2027-05-04,"F-P7C-01: A synthetic publisher 'Corridor Analytics' submits a signed scenario package; the manifest viewer shows its declared data access and a signature that verifies against the publisher's registered key. || F-P7C-02: NORDWERK's package authority installs the corridor scenario package; the permission diff shows it wants the supplier table, which is denied, and the package runs only on its own fixtures until granted. || F-P7C-03: The publisher revokes corridor package v1.2 after a flaw; NORDWERK's installation is suspended, the two scenarios built on it are marked for review, and the replay of last month's decision still resolves v1.2. || F-P7C-04: NORDWERK's agent governor compares two 'port congestion' agent packages by evaluation evidence and permissions, installs one with read-only corridor data, and later rolls it back.","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B78,C,M1,"Scenario/data marketplaces, domain packs, decision templates, domain agents",F-P7A-17 F-P7C-05 F-P7C-06 F-P7C-07 F-P7C-08,,,B70 B71 B77,,0,0,9,15,A3,2027-05-04,2027-05-31,"F-P7C-05: NORDWERK imports a 'chokepoint closure' scenario package, localises it to the Bab el-Mandeb corridor and Regensburg line, and its branches run on NORDWERK's twin without reading any other room. || F-P7C-06: A signed 'Red Sea AIS' source package is installed; its connector runs sandboxed under NORDWERK's collection contract, and revoking the licence stops collection while keeping collected evidence's provenance. || F-P7C-07: A 'drive-train manufacturing' domain pack adds supplier-tier ontology terms and a castings twin template under its namespace; the core ontology is untouched and a conflicting term is refused. || F-P7C-08: L. Brandt opens a new 'Supply-chain disruption' decision from the DA-02 archetype: mission-command authority, 1-year horizon and risk criteria are pre-set for the corridor decision. || F-P7A-17: The supply-chain agent links a new sanctions listing on a Red Sea shipping operator to NORDWERK's castings supplier, the corridor twin and the open decision package, marking what is observed vs inferred.","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",domain experts to accept packs (external)
B80,E,M1,"Shell and foundations: tokens, component library, navigation",F-P7-E-01 F-P7-E-03 F-P7-E-05,,,,,0,0,6,9.5,A3,2026-09-28,2026-10-21,"F-P7-E-03: A NORDWERK-branded theme is previewed; the certifier refuses it because the brand accent breaks the critical-state contrast, then accepts the corrected theme; the same warning renders identically in light, dark and print || F-P7-E-05: The source-registration and decision-package forms for the corridor now share the same field, validation and draft behaviour; a bulk selection of Red Sea sources shows exactly what is included and excluded before the action || F-P7-E-01: l.brandt switches the context bar from the Regensburg line objective to the Bab el-Mandeb corridor scenario and sees the impact preview before any open work is re-scoped","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B81,E,M1,"Interaction patterns: human authority, degraded states, content, object pages, layout, command palette",F-P7-E-02 F-P7-E-04 F-P7-E-06 F-P7-E-18 F-P7-E-19 F-P7-E-20,,,B80,,0,0,9.5,15.5,A3,2026-10-08,2026-11-05,"F-P7-E-20: l.brandt approves the corridor reroute: the banner names eligibility and recusal, the digest is frozen, the typed confirmation is required and the signed receipt is shown || F-P7-E-19: The AIS feed for the Red Sea goes stale; every corridor view shows the watermark and the degraded contract naming the owner, and a cancelled simulation shows its residual state || F-P7-E-18: Hovering ""assessed"" on the corridor claim shows the canonical term with the executive-level explanation; the destructive ""withdraw warning"" command states its scope and reversibility || F-P7-E-06: Opening the NORDWERK Bab el-Mandeb disruption warning, a forecast, a twin snapshot and a decision package shows the same header grammar; comparing two warning versions aligns the changed evidence and approver || F-P7-E-04: The Regensburg operations room drives a >=1920px command display (corridor map, warning queue, twin state) while l.brandt hands the session to a tablet without losing the review context || F-P7-E-02: An analyst types ""Bab el-Mandeb exposure Regensburg"" into the palette; the intent is resolved to a scoped query, ambiguity triggers a clarification prompt, and a consequential command opens the command review","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
