id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes
V02-T-058,V2,Ten-layer architecture,10,"Principal outputs of digital twins: twin state, behavior, branches, dependencies.",V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,"apps/api/migrations/0032 (branch_id, forked_from_version; §7 TWN as strategy dependent); apps/api/test/int/phase5-twins.test.ts: an ALTERNATIVE branch forked from v1 coexists with the actual branch; comparison lists the difference and changes neither",,tracking id assigned (slides carry no requirement ids)
V02-T-059,V2,Ten-layer architecture,11,"Prediction Engine: estimate future variables, events, and states with horizon-appropriate methods (ensembles + specialist models).",V02-F004,prediction,partial,passed:harness,merged,phase4,P4,"apps/api/src/prediction/models/models.ts (seasonal-naive, holt-winters-additive, MODEL_VERSION 1); apps/api/src/prediction/forecasting/forecasting.service.ts; apps/api/test/int/phase4-acceptance.test.ts: D3 · the learned model is used only when the backtest says it earned it","Only numeric series forecasts with two methods; no event/state forecasts, ensembles, causal or horizon-specific model families; 3y/5y horizons unmeasured.",tracking id assigned (slides carry no requirement ids); PHASE4_REPORT.md: T3 unmeasured
V02-T-060,V2,Ten-layer architecture,11,"Forecasts expose distributions, confidence, calibration, important drivers, assumptions, sensitivity, model lineage, failure conditions, and refresh cadence.",V02-F004,prediction,partial,passed:harness,merged,phase4,P4,"apps/api/migrations/0029 (forecasts_current: quantiles, path, drivers, assumptions, evidence_refs, refresh_cadence, method/method_version, validation_state/note, skill); apps/api/test/int/phase4-acceptance.test.ts: D1 · a forecast names distribution, horizon, drivers, assumptions and evidence — or is refused",Add sensitivity of the forecast to its drivers/assumptions and explicit declared failure conditions.,tracking id assigned (slides carry no requirement ids)
V02-T-061,V2,Ten-layer architecture,11,Prediction contract: canonical horizons.,V02-F004,prediction,implemented,passed:harness,merged,phase4,done,"apps/api/migrations/0029 (horizon_code CHECK IN 30d,90d,180d,1y,3y,5y); apps/api/test/int/phase4-acceptance.test.ts: D1",,tracking id assigned (slides carry no requirement ids); V00-F020
V02-T-062,V2,Ten-layer architecture,11,Prediction contract: calibration.,V02-F004,prediction,implemented,passed:browser,merged,phase4,done,"apps/api/migrations/0029 (prediction.backtests coverage_80, pinball; outcome_ledger); apps/api/test/int/phase4-acceptance.test.ts: D4 · an outcome is scored from the observation known at the target, and calibration reports it; e2e/phase4-prediction.demo.spec.ts: the calibration screen labels every backtest with its knowledge mode; apps/web/app/prediction/calibration/page.tsx",,tracking id assigned (slides carry no requirement ids)
V02-T-063,V2,Ten-layer architecture,11,Prediction contract: model fitness.,V02-F004,prediction,implemented,passed:harness,merged,phase4,done,"apps/api/src/prediction/forecasting/forecasting.service.ts (T1 coverage band, T2 skill vs seasonal naive); apps/api/test/int/phase4-acceptance.test.ts: D3/D4 · a backtest scores the learned model AGAINST seasonal naive on identical origins and records it either way",,tracking id assigned (slides carry no requirement ids)
V02-T-064,V2,Ten-layer architecture,11,Prediction contract: sensitivity.,V02-F004,prediction,missing,unverified,none,omission,P4,,No sensitivity analysis on forecasts (which drivers/assumptions move the distribution); simulation-side sensitivity exists (0033) but not for forecasts.,tracking id assigned (slides carry no requirement ids)
V02-T-065,V2,Ten-layer architecture,11,Prediction contract: failure conditions.,V02-F004,prediction,partial,passed:harness,merged,phase4,P4,"apps/api/migrations/0029 (validation_state, attention_state 'assumption_unverified'; fct_names_drivers/assumptions CHECKs); apps/api/src/prediction/forecasting/forecasting.service.ts (MIS-CALIBRATED note)","Declare explicit failure conditions per forecast/model (regime break, data gap, horizon beyond validation) and evaluate them on refresh.",tracking id assigned (slides carry no requirement ids)
V02-T-066,V2,Ten-layer architecture,11,"Principal outputs of prediction: forecasts, distributions, drivers, triggers.",V02-F004,prediction,implemented,passed:harness,merged,phase4,done,"apps/api/migrations/0029 (forecasts, quantiles, drivers; indicators→branch flip→warning); apps/api/test/int/phase4-acceptance.test.ts: D5/D6 · an indicator breach FLIPS the branch with a receipt and raises a warning to a named owner",,tracking id assigned (slides carry no requirement ids)
V02-T-067,V2,Ten-layer architecture,12,Scenario Intelligence: maintain several plausible futures under uncertainty without presenting one path as destiny (branch + monitor + compare).,V02-F004,prediction,partial,passed:harness,merged,phase4,P4,"apps/api/migrations/0029 (scenarios_current, branches_current kind baseline/upside/downside, indicator_evaluations); apps/api/src/prediction/scenarios/scenarios.service.ts; apps/api/test/int/phase4-acceptance.test.ts: D5/D6; e2e/phase4-prediction.demo.spec.ts: the scenario tree shows the flipped branch with its decision deadline",No scenario comparison product (side-by-side branch consequences) and no custom/disruption branches beyond baseline/upside/downside.,tracking id assigned (slides carry no requirement ids); V00-F022
V02-T-068,V2,Ten-layer architecture,12,"Each scenario declares baseline, assumptions, drivers, actors, branch points, indicators, interventions, impacts, owners, and review cadence.",V02-F004,prediction,partial,passed:harness,merged,phase4,P4,"apps/api/migrations/0029 (scenarios_current: forecast_id, owner_principal_id, review_cadence; branches_current: kind, indicator_id, signpost, consequence, owner, review_cadence, response_window_hours)","Add declared actors, drivers, interventions and an explicit per-scenario assumption set (today assumptions reach a scenario only through its forecast).",tracking id assigned (slides carry no requirement ids)
V02-T-069,V2,Ten-layer architecture,12,Scenario contract: scenario plurality.,V02-F004,prediction,implemented,passed:harness,merged,phase4,done,apps/api/migrations/0029 (branches_current.kind IN baseline/upside/downside; brn_flippable_has_indicator); apps/api/test/int/phase4-acceptance.test.ts: D5/D6,,tracking id assigned (slides carry no requirement ids)
V02-T-070,V2,Ten-layer architecture,12,Scenario contract: assumption register.,V02-F004,prediction,partial,passed:harness,merged,phase4,P4,apps/api/migrations/0024 (ASU strategy objects with verification_state); apps/api/migrations/0029 (forecasts_current.assumptions; invalidations affected_forecasts); apps/api/test/int/phase3-acceptance.test.ts: every declared assumption starts UNVERIFIED,"No per-scenario assumption register; assumptions are attached to forecasts and the strategy graph, not enumerated on the scenario.",tracking id assigned (slides carry no requirement ids)
V02-T-071,V2,Ten-layer architecture,12,Scenario contract: branch indicators.,V02-F004,prediction,implemented,passed:harness,merged,phase4,done,"apps/api/migrations/0029 (indicators_current threshold, indicator_evaluations, branch.flipped event); apps/api/migrations/0037_branch_flip_under_both_clocks.sql; apps/api/test/int/phase4-acceptance.test.ts: D5/D6",,tracking id assigned (slides carry no requirement ids)
V02-T-072,V2,Ten-layer architecture,12,Scenario contract: evidence linkage.,V02-F004,prediction,implemented,passed:harness,merged,phase4,done,"apps/api/src/graph/strategy/impact.service.ts (walk reaches forecasts, scenarios, warnings); apps/api/test/int/phase4-acceptance.test.ts: D7 · correcting evidence a forecast rests on surfaces the forecast through Phase 3",,tracking id assigned (slides carry no requirement ids)
V02-T-073,V2,Ten-layer architecture,12,Scenario contract: review cadence.,V02-F004,prediction,implemented,unverified,merged,phase4,done,"apps/api/migrations/0029 (scenarios_current.review_cadence, branches_current.review_cadence)",,"tracking id assigned (slides carry no requirement ids); cadence is declared; no overdue-review evaluation for scenarios (rooms have one, 0044)"
V02-T-074,V2,Ten-layer architecture,12,"Principal outputs of scenario intelligence: scenarios, indicators, branches, signposts.",V02-F004,prediction,implemented,passed:browser,merged,phase4,done,apps/api/migrations/0029 (branches_current.signpost); apps/web/app/prediction/scenarios/page.tsx; e2e/phase4-prediction.demo.spec.ts: the scenario tree shows the flipped branch,,tracking id assigned (slides carry no requirement ids)
V02-T-075,V2,Ten-layer architecture,13,"Simulation Engine: run reproducible experiments against declared models, twins, assumptions, and constraints (experiment + compare + challenge).",V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,apps/api/migrations/0033_simulation_runs.sql; apps/api/src/twin/simulations/simulation.service.ts; apps/api/test/int/phase5-simulations.test.ts: an INTERVENTION run references the completed control; incompatible controls and comparisons are refused,,tracking id assigned (slides carry no requirement ids); V00-F023
V02-T-076,V2,Ten-layer architecture,13,"Every material run records initial state, interventions, model versions, seeds where applicable, constraints, outputs, sensitivity, and validation status.",V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,"apps/api/migrations/0033 (runs_current: initial_state+digest, interventions, implementation_digest, environment_digest, stochastic_mode/seed, constraints, outputs+digest, sensitivity, validation_status; sim_completed_bound CHECK); apps/api/test/int/phase5-simulations.test.ts: a CONTROL run completes: outputs bound, digests recorded",,tracking id assigned (slides carry no requirement ids)
V02-T-077,V2,Ten-layer architecture,13,Simulation contract: reproducibility.,V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,"apps/api/src/twin/simulations/reproduce-worker.ts; apps/api/migrations/0033 (simulation.reproductions verdict reproduced/mismatch/unreproducible); apps/api/test/int/phase5-simulations.test.ts: a COLD process re-executes the stored contract ...; apps/api/test/int/phase5-simulations.test.ts: when the pinned implementation is no longer the one the run recorded, the verdict is UNREPRODUCIBLE",,tracking id assigned (slides carry no requirement ids)
V02-T-078,V2,Ten-layer architecture,13,Simulation contract: assumption declaration.,V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,apps/api/migrations/0033 (runs_current.assumptions; immutable); apps/api/src/twin/simulations/simulation.service.ts (assumed elements the run rests on),,tracking id assigned (slides carry no requirement ids)
V02-T-079,V2,Ten-layer architecture,13,Simulation contract: model version.,V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,apps/api/migrations/0033 (implementation_digest pinned on behaviour_models; environment_digest); apps/api/test/int/phase5-simulations.test.ts: UNREPRODUCIBLE verdict on implementation change,,tracking id assigned (slides carry no requirement ids)
V02-T-080,V2,Ten-layer architecture,13,Simulation contract: seed and constraints.,V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,"apps/api/migrations/0033 (sim_seeded_declares, sim_deterministic_draws_nothing; constraints jsonb); apps/api/test/int/phase5-simulations.test.ts: refuses ... an unseeded stochastic run",,tracking id assigned (slides carry no requirement ids)
V02-T-081,V2,Ten-layer architecture,13,Simulation contract: sensitivity analysis.,V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,"apps/api/src/twin/simulations/simulation.service.ts (sensitivityOf: one-at-a-time ±relative over assumed elements, envelope breaches); apps/api/migrations/0033 (sensitivity required at completion)",,tracking id assigned (slides carry no requirement ids)
V02-T-082,V2,Ten-layer architecture,13,"Principal outputs of simulation: runs, impacts, sensitivity, second-order effects.",V02-F004,twin-simulation,partial,passed:harness,branch-only,phase5,P5,"apps/api/migrations/0033; apps/api/migrations/0041_decision_packages.sql (options.second_order, package_versions.second_order as declared arrays); e2e/phase4-prediction.demo.spec.ts: SIMULATIONS: control and interventions compared on one baseline",Second-order effects are not produced by the engine; they are free-form declarations on decision options. Add coupled/second-order propagation across linked twins.,tracking id assigned (slides carry no requirement ids)
V02-T-083,V2,Ten-layer architecture,14,"Decision Intelligence: compare viable alternatives against objectives, constraints, obligations, risk, and uncertainty (compare + explain + route).",V02-F005,decision,partial,passed:harness,branch-only,phase6,P6,"apps/api/migrations/0041_decision_packages.sql (package_versions.objectives, constraints, risks, opportunities, approver_policy; options.uncertainty); apps/api/src/decision/packages/package.service.ts; apps/api/test/int/phase6-decisions.test.ts: terms: objectives are OBJs, approvers are named humans or registered roles, conditions name what exists",No stakeholder obligations object; no value-of-information or trade-off analysis beyond declared accepted_trade_offs.,tracking id assigned (slides carry no requirement ids); V00-F024
V02-T-084,V2,Ten-layer architecture,14,"Recommendations retain criteria, evidence, scenarios, simulations, assumptions, alternatives, dissent, approval state, monitoring conditions, and a named accountable authority.",V02-F005,decision,implemented,passed:harness,branch-only,phase6,done,"apps/api/migrations/0041 (options append-only; choice.outcome_criteria/action_owner; dissent humans only); apps/api/migrations/0042 (approvals); apps/api/test/int/phase6-decisions.test.ts: a named human dissents on their own behalf, before commitment; the record is append-only; e2e/phase6-decisions.demo.spec.ts: DECISIONS: the committed package shows its state, SYNTHETIC consequences, the choice, dissent, approvals and the C3 commitment",,tracking id assigned (slides carry no requirement ids)
V02-T-085,V2,Ten-layer architecture,14,Decision contract: decision completeness.,V02-F005,decision,partial,passed:harness,branch-only,phase6,P6,"apps/api/test/int/phase6-decisions.test.ts: the proposal is refused while the choice is missing; the choice names an option, a human owner, a deadline and measurable outcomes; FULL_PRODUCT_DELIVERY_REGISTER.md §6",Conditional-approval handling: conditions recorded on approvals (0042 decision.approvals.conditions) are not evaluated at commitment or monitoring (register §6 'missing').,tracking id assigned (slides carry no requirement ids)
V02-T-086,V2,Ten-layer architecture,14,Decision contract: alternative retention.,V02-F005,decision,implemented,passed:harness,branch-only,phase6,done,apps/api/migrations/0041 (dop_append_only; options carried forward); apps/api/test/int/phase6-decisions.test.ts: a new version carries the terms and options forward but NEVER the choice,,tracking id assigned (slides carry no requirement ids)
V02-T-087,V2,Ten-layer architecture,14,Decision contract: approval workflow.,V02-F005,decision,implemented,passed:harness,branch-only,phase6,done,"apps/api/migrations/0042 (record_approval, revoke_approval, quorum, role-at-scope, expiry); apps/api/src/decision/approvals/approval.service.ts; apps/api/test/int/phase6-approvals.test.ts: role-at-scope with a quorum of two DISTINCT humans; the same human twice is one; expiry ends an approval",,tracking id assigned (slides carry no requirement ids)
V02-T-088,V2,Ten-layer architecture,14,Decision contract: human authority.,V02-F005,decision,implemented,passed:harness,branch-only,phase6,done,"apps/api/migrations/0042 (commit_package: decision_authority not among approvers, C3); apps/api/test/int/phase6-approvals.test.ts: the PEP discharges the human gate BEFORE any port: an agent or workload holding decision_approver is refused with EYE-WFL-002; apps/api/test/unit/pdp-phase6-authority.test.ts",,tracking id assigned (slides carry no requirement ids); V00-F004
V02-T-089,V2,Ten-layer architecture,14,Decision contract: outcome linkage.,V02-F005,decision,implemented,passed:harness,branch-only,phase6,done,"apps/api/migrations/0045_decision_monitoring_and_outcomes.sql (record_outcome against an admitted OBSERVED twin element with reconciliation); apps/api/test/int/phase6-monitoring.test.ts: the OUT: refused without the reconciliation, for a wrong criterion, unit or element; recorded once by the owner",,tracking id assigned (slides carry no requirement ids)
V02-T-090,V2,Ten-layer architecture,14,"Principal outputs of decision intelligence: options, recommendations, approvals, decision records.",V02-F005,decision,implemented,passed:browser,branch-only,phase6,done,apps/web/app/decisions/page.tsx; e2e/phase6-decisions.demo.spec.ts: DECISIONS: the committed package shows its state ...,,tracking id assigned (slides carry no requirement ids)
V02-T-091,V2,Ten-layer architecture,15,"Executive Operating System: organize strategic work around objectives, change, scenarios, decisions, commitments, and outcomes (prioritize + convene + decide + review).",V02-F005,executive-os,partial,passed:harness,branch-only,phase6,P6,"apps/api/migrations/0044_executive_rooms_and_briefings.sql (rooms, members, cadence, review events); apps/api/src/executive/rooms/room.service.ts; apps/api/test/int/phase6-briefings.test.ts: a room is opened by the package owner only; members are named humans",No prioritisation (priority queue/attention ranking) and no objective-centred executive workspace; rooms exist per decision package only.,tracking id assigned (slides carry no requirement ids); V00-F027
V02-T-092,V2,Ten-layer architecture,15,"Leadership interacts with live governed intelligence objects—not isolated dashboards, reports, or conversations—and can inspect why an item was elevated or deferred.",V02-F005,executive-os,partial,passed:harness,branch-only,phase6,P6,"apps/api/src/executive/briefings/briefing.service.ts (items with 'matters' rationale via graph.dependencies, owners, windows); apps/api/test/int/phase6-briefings.test.ts: composed from stored records under the reader's cut-off",No record of elevation/deferral/suppression decisions; a briefing lists items but cannot explain why one was elevated or deferred.,tracking id assigned (slides carry no requirement ids)
V02-T-093,V2,Ten-layer architecture,15,Executive contract: attention policy.,V02-F005,executive-os,missing,unverified,none,omission,P6,apps/api/migrations/0029 (forecasts_current.attention_state only),"Define an attention policy object (thresholds, materiality, routing, suppression rules) evaluated when composing briefings and priorities, with its decisions recorded.",tracking id assigned (slides carry no requirement ids)
V02-T-094,V2,Ten-layer architecture,15,Executive contract: role clarity.,V02-F005,executive-os,implemented,passed:harness,branch-only,phase6,done,apps/api/migrations/0041 (seven decision roles); apps/api/migrations/0044 (room_members.role owner/approver/dissenter/observer); apps/api/test/int/phase6-briefings.test.ts: members are named humans; an agent is never a member,,tracking id assigned (slides carry no requirement ids)
V02-T-095,V2,Ten-layer architecture,15,Executive contract: decision state.,V02-F005,executive-os,implemented,passed:harness,branch-only,phase6,done,apps/api/migrations/0041 (packages_current.state draft→proposed→under_review→approved→committed→monitoring→closed); apps/api/test/int/phase6-approvals.test.ts: after commitment nothing reopens,,tracking id assigned (slides carry no requirement ids)
V02-T-096,V2,Ten-layer architecture,15,Executive contract: review cadence.,V02-F005,executive-os,implemented,passed:harness,branch-only,phase6,done,"apps/api/migrations/0044 (set_cadence, review.overdue); apps/api/src/executive/agents/agent-worker.service.ts (briefing cadence scheduler); apps/api/test/int/phase6-monitoring.test.ts: a review falling due without a review event is recorded as overdue once",,tracking id assigned (slides carry no requirement ids)
V02-T-097,V2,Ten-layer architecture,15,Executive contract: experience integrity.,V02-F005,ux,partial,passed:browser,branch-only,phase6,P7-E,"apps/web/app/decisions/briefings/page.tsx; apps/web/components/ui.tsx (truth-state and synthetic marks, role=alert/status); e2e/phase6-decisions.demo.spec.ts: BRIEFINGS: the room, its members and cadence; a briefing with source states and windows ordered by time left","No executive home/priority queue, no unified shell across workspaces; briefing narrative is optional and outside the digest.",tracking id assigned (slides carry no requirement ids)
V02-T-098,V2,Ten-layer architecture,15,"Principal outputs of the Executive OS: briefings, decision rooms, commitments, strategic cadence.",V02-F005,executive-os,implemented,passed:browser,branch-only,phase6,done,apps/api/migrations/0044; apps/api/migrations/0042 (decision.commitments); e2e/phase6-decisions.demo.spec.ts: BRIEFINGS ...,,tracking id assigned (slides carry no requirement ids)
V02-T-099,V2,Ten-layer architecture,16,A layer owns a canonical responsibility and publishes governed interfaces. It may use several technologies internally without changing the meaning of the layer.,V02-F001,infrastructure,implemented,unverified,merged,phase0,done,apps/api/src/app.module.ts; apps/api/src/*/*.controller.ts (/v1 routes per layer); apps/api/src/*/*.capabilities.ts,,tracking id assigned (slides carry no requirement ids); architectural property; see slide 5 replaceability row
V02-T-100,V2,Ten-layer architecture,16,Contract — stable semantics: canonical objects.,V02-F001,data-platform,implemented,passed:harness,merged,phase0,done,"apps/api/migrations/0006_objects.sql; schema_ref per type (SRC@v2 0028, CLM@v2 0023, FCT@v1/SCN@v1/WRN@v1 0029, DPK@v1 0041, APR@v1 0042, BRF@v1 0044); apps/api/test/int/phase2-acceptance.test.ts: Phase 0's CLM@v1 schema is untouched; apps/api/test/acceptance/acceptance.test.ts",,tracking id assigned (slides carry no requirement ids)
V02-T-101,V2,Ten-layer architecture,16,Contract — stable semantics: versioned APIs and events.,V02-F001,data-platform,implemented,passed:harness,merged,phase0,done,apps/api/src/*/*.controller.ts (@Controller('/v1/...')); apps/api/migrations/0015_outbox_hardening.sql; apps/api/src/objects/outbox.publisher.ts; apps/api/test/int/gate22-outbox-hardening.test.ts; apps/api/test/int/phase1-acceptance.test.ts: an OUTBOX row never carries a scope outside the operation that wrote it,,tracking id assigned (slides carry no requirement ids)
V02-T-102,V2,Ten-layer architecture,16,Contract — stable semantics: truth and time semantics.,V02-F001,data-platform,implemented,passed:harness,merged,phase1,done,"apps/api/migrations/0006 (truth_state); apps/api/test/int/phase1-acceptance.test.ts: four times are populated per the type rules; apps/api/test/int/phase1-acceptance.test.ts: a WITHDRAWAL says so in the truth state, not only in the lifecycle",,"tracking id assigned (slides carry no requirement ids); V00-F010, V00-F011"
V02-T-103,V2,Ten-layer architecture,16,Freedom — replaceable implementation: multiple stores and engines.,V02-F001,data-platform,partial,unverified,merged,phase0,P3,"docker-compose.yml (postgres, redis); apps/api/src/observation/vault (file vault); apps/api/src/shared/db.ts","Only Postgres, Redis/BullMQ and a file vault; no vector store, graph engine, search engine or stream engine behind the capability ports.",tracking id assigned (slides carry no requirement ids)
V02-T-104,V2,Ten-layer architecture,16,Freedom — replaceable implementation: model pluralism.,V02-F001,intelligence,partial,passed:harness,merged,phase2,P2,apps/api/src/intelligence/gateway/model-gateway.service.ts; apps/api/src/prediction/models/models.ts; apps/api/src/twin/models/supply-flow.ts,"See slide 26 rows: no candidate-model selection, no hosted/causal/optimization families.",tracking id assigned (slides carry no requirement ids); V00-F030
V02-T-105,V2,Ten-layer architecture,16,Freedom — replaceable implementation: deployment-specific services.,V02-F001,infrastructure,missing,unverified,none,phase7,P7-D,,"No deployment profiles exist, so no deployment-specific service adapters (managed DB/queue/KMS vs. local) are defined.",tracking id assigned (slides carry no requirement ids)
V02-T-106,V2,Ten-layer architecture,16,Control — observable behavior: policy at every boundary.,V02-F001,identity-policy,implemented,passed:harness,merged,phase0,done,"apps/api/src/policy/pdp.service.ts; apps/api/src/pipeline/pipeline.service.ts (PEP); DB ports call observation.assert_authority (e.g. apps/api/migrations/0045, 0034); apps/api/test/int/gate22-authority-matrix.test.ts; apps/api/test/int/gate22-operation-closure.test.ts",,tracking id assigned (slides carry no requirement ids)
V02-T-107,V2,Ten-layer architecture,16,Control — observable behavior: backpressure and recovery.,V02-F001,infrastructure,partial,passed:harness,merged,phase1,P7-D,"apps/api/src/observation/sources/source-contract.ts (budgets: max_requests_per_run, max_bytes_per_run, timeout_ms, max_retries); apps/api/src/audit/audit.service.ts (restart-durable rate-limit suppression accounting); apps/api/src/shared/degraded-store.ts; apps/api/test/int/gate22-degraded-recovery.test.ts","No API-level backpressure (quotas, 429/limits per tenant), no queue depth/lag controls, no capacity model.",tracking id assigned (slides carry no requirement ids)
V02-T-108,V2,Ten-layer architecture,16,Control — observable behavior: audit and evaluation.,V02-F001,learning-evaluation,partial,passed:harness,merged,phase0,P7-B,apps/api/migrations/0004_audit.sql; apps/api/test/int/audit-chain.test.ts; apps/web/app/admin/audit/page.tsx; e2e/phase0.spec.ts: audit viewer shows events and chain-integrity status (UI),Evaluation plane absent (see slides 43-45).,tracking id assigned (slides carry no requirement ids)
V02-T-109,V2,Connected world model,17,"The Knowledge Graph connects external reality to enterprise intent: companies, countries, technologies, regulations, supply chains, markets, capabilities, objectives.",V02-F003,memory-graph,partial,passed:harness,merged,phase3,P3,"apps/api/migrations/0024 (entities_current.entity_type IN organization, place, asset, product, vessel, route, person, other; strategy_current OBJ); apps/api/test/int/phase3-acceptance.test.ts: resolves differently spelled mentions ...","No technology, regulation, market, supply-chain or capability entity types/objects; add them with ontology governance and resolution rules.",tracking id assigned (slides carry no requirement ids)
V02-T-110,V2,Connected world model,17,"Every relationship carries identity, time, provenance, confidence, truth state, policy, and version appropriate to its role.",V02-F003,memory-graph,implemented,passed:harness,merged,phase3,done,"apps/api/migrations/0024 (edges_current: valid_from/to, claim_id/claim_version, evidence_digest, confidence, mode, state; edge_events); apps/api/migrations/0030 (inherited controls); apps/api/test/int/phase3-acceptance.test.ts: every edge carries valid time, record time, mode and evidence",,tracking id assigned (slides carry no requirement ids)
V02-T-111,V2,Connected world model,18,The Strategy Graph makes objectives and commitments operational: world change → assumption → objective → decision → commitment → outcome.,V02-F003,memory-graph,implemented,passed:harness,branch-only,phase6,done,"apps/api/migrations/0024 (strategy_current OBJ/ASU/DEC/CMT/OUT, dependencies); apps/api/migrations/0042 (decision.commit → CMT); apps/api/migrations/0045 (decision.outcome → OUT); apps/api/test/int/phase3-acceptance.test.ts: propagation marks every dependent assumption UNVERIFIED; apps/api/test/int/phase6-approvals.test.ts: the bounded CMT lands in Phase 3's strategy graph",,tracking id assigned (slides carry no requirement ids); V00-F017
V02-T-112,V2,Connected world model,18,Objectives link to indicators and thresholds.,V02-F003,memory-graph,partial,passed:harness,merged,phase4,P3,apps/api/migrations/0024 (OBJ rests on ASU via dependencies); apps/api/migrations/0029 (indicators belong to scenario branches); apps/api/migrations/0041 (monitoring_conditions name indicators),Objectives carry no indicators/thresholds of their own (KPIs); add objective→indicator links with thresholds and evaluation.,tracking id assigned (slides carry no requirement ids)
V02-T-113,V2,Connected world model,18,Assumptions link to evidence and scenarios.,V02-F003,memory-graph,implemented,passed:harness,merged,phase4,done,apps/api/migrations/0029 (forecast rests on assumptions and evidence; scenario rests on forecast); apps/api/src/graph/strategy/impact.service.ts; apps/api/test/int/phase4-acceptance.test.ts: D7,,tracking id assigned (slides carry no requirement ids)
V02-T-114,V2,Connected world model,18,"Decisions link to capabilities, resources, and constraints.",V02-F003,memory-graph,partial,passed:harness,branch-only,phase6,P3,"apps/api/migrations/0041 (package_versions.constraints, objectives); apps/api/migrations/0024 (DEC depends on claims/entities/edges/strategy)",No capability or resource objects in the graph; decisions cannot cite capabilities/resources.,tracking id assigned (slides carry no requirement ids)
V02-T-115,V2,Connected world model,18,A new event can invalidate an assumption.,V02-F003,memory-graph,implemented,passed:harness,merged,phase3,done,"apps/api/src/graph/strategy/impact.service.ts; apps/api/migrations/0025_impact_closure_and_edge_admission.sql; apps/api/test/int/phase3-acceptance.test.ts: the walk reports what a changed claim reaches, before anything is written; apps/api/test/int/phase3-acceptance.test.ts: propagation marks every dependent assumption UNVERIFIED and lists what is above it",,tracking id assigned (slides carry no requirement ids)
V02-T-116,V2,Connected world model,18,An invalid assumption can reopen a scenario.,V02-F003,prediction,partial,passed:harness,merged,phase4,P4,apps/api/migrations/0029 (invalidations affected_forecasts; forecast attention_state); apps/api/src/graph/strategy/impact.service.ts (scenarios reached); apps/api/test/int/phase4-acceptance.test.ts: D7,The walk reports the affected scenario and marks forecasts for attention; the scenario is not reopened/re-versioned nor its owner tasked.,tracking id assigned (slides carry no requirement ids)
V02-T-117,V2,Connected world model,18,A changed objective can alter commitments and review owners.,V02-F003,memory-graph,partial,passed:harness,merged,phase3,P6,apps/api/test/int/phase3-acceptance.test.ts: it REPORTS the objectives and commitments; it does not decide about them,No objective-change event that re-tasks commitments or reassigns review owners; only reporting through the impact walk.,tracking id assigned (slides carry no requirement ids)
V02-T-118,V2,Connected world model,19,"Enterprise Memory holds sources, documents, communications, and telemetry; entities, events, claims, analyses, workflows; decisions, actions, outcomes, and correction history; with permission-aware semantic retrieval.",V02-F003,memory-graph,partial,passed:harness,branch-only,phase6,P3,"apps/api/migrations/0022 (sources, evidence); apps/api/migrations/0023 (claims); apps/api/migrations/0024; apps/api/migrations/0041/0045 (decisions, outcomes); apps/api/test/int/phase1-acceptance.test.ts: a correction SUPERSEDES without overwriting; apps/api/test/int/phase3-acceptance.test.ts: search reads METADATA",No communications or telemetry ingestion; no analyses object; retrieval is not semantic (no embeddings).,tracking id assigned (slides carry no requirement ids)
V02-T-119,V2,Connected world model,19,"Strategic Memory holds objectives, hypotheses, and assumptions; forecasts, scenarios, and simulation configurations; alternatives, dissent, approvals, and commitments; post-decision reviews and governed lessons.",V02-F003,learning-evaluation,partial,passed:harness,branch-only,phase6,P7-B,apps/api/migrations/0024 (OBJ/ASU); apps/api/migrations/0029; apps/api/migrations/0033; apps/api/migrations/0041/0042; apps/api/migrations/0045 (close_package lessons text); apps/api/test/int/phase6-monitoring.test.ts: closure records the lessons as text on the outcomes,"No hypothesis object; post-decision review and lessons are unstructured text with no governed lesson object, review or adoption path.",tracking id assigned (slides carry no requirement ids)
V02-T-120,V2,Connected world model,19,The distinction prevents document retention from being mistaken for institutional learning.,V02-F003,governance-docs,implemented,not-applicable,merged,not-applicable,done,,,tracking id assigned (slides carry no requirement ids); explanatory
V02-T-121,V2,Connected world model,20,"Digital Twins form a system of linked representations—an enterprise digital twin linked to supply chain, products, markets, regulations, infrastructure, processes, organization, competitors—not one monolith.",V02-F004,twin-simulation,partial,passed:harness,merged,phase5,P5,apps/api/migrations/0032 (twin_kind_schemas: supply-chain only); apps/api/src/twin/models/supply-flow.ts,Add the enterprise twin and the satellite families with twin-to-twin dependency links and coupled state.,tracking id assigned (slides carry no requirement ids); V00-F018
V02-T-122,V2,Connected world model,20,Twin contract: observed state is separated from synthetic state.,V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,apps/api/migrations/0032 (element kinds; synthetic_state); apps/api/test/int/phase5-twins.test.ts: E2 · synthetic state folds UPWARD,,tracking id assigned (slides carry no requirement ids)
